id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
348,De Vrij,Stefan de Vrij,Metodo Monchi FC,Inter,Football Club Internazionale Milano S.p.A.,stefan de vrij,de vrij
279,Oyegoke,Daniel Oyegoke,Svincolato,Verona,Verona Hellas Football Club,daniel oyegoke,oyegoke
272,Zè Pedro,Zé Pedro,Svincolato,Cagliari,Cagliari Calcio,ze pedro,ze pedro
307,Troilo,Mariano Troilo,Diablitos FC,Parma,Parma Calcio 1913,mariano troilo,troilo
303,Dossena,Alberto Dossena,Svincolato,Cagliari,Cagliari Calcio,alberto dossena,dossena
366,Kolasinac,Sead Kolasinac,Svincolato,Atalanta,Atalanta Bergamasca Calcio S.p.a.,sead kolasinac,kolasinac
284,Schuurs,Perr Schuurs,Svincolato,Torino,Torino Calcio,perr schuurs,schuurs
109,Harroui,Abdou Harroui,Baby Reijnders,Verona,Verona Hellas Football Club,abdou harroui,harroui
207,Tourè I.,Idrissa Touré,ZeroDayz FC,Pisa,Pisa Sporting Club,idrissa toure,toure i.
236,Berisha M.,Medon Berisha,Svincolato,Lecce,Unione Sportiva Lecce,medon berisha,berisha m.
232,Felici,Mattia Felici,Svincolato,Cagliari,Cagliari Calcio,mattia felici,felici
254,Neres,David Neres,FC Pontos,Napoli,Società Sportiva Calcio Napoli,david neres,neres
226,Loftus-Cheek,Ruben Loftus-Cheek,Sborada,Milan,Associazione Calcio Milan,ruben loftus-cheek,loftus-cheek
238,Basic,Toma Bašić,Svincolato,Lazio,Società Sportiva Lazio S.p.A.,toma basic,basic
228,Cataldi,Danilo Cataldi,Diaolo Porco,Lazio,Società Sportiva Lazio S.p.A.,danilo cataldi,cataldi
243,Thorsby,Morten Thorsby,Svincolato,Cremonese,Unione Sportiva Cremonese S.p.A.,morten thorsby,thorsby
219,Pasalic,Mario Pašalić,ZeroDayz FC,Atalanta,Atalanta Bergamasca Calcio S.p.a.,mario pasalic,pasalic
235,Volpato,Cristian Volpato,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,cristian volpato,volpato
241,Pellegrini Lo.,Lorenzo Pellegrini,FC Sovescio,Roma,Associazione Sportiva Roma,lorenzo pellegrini,pellegrini lo.
248,Konè M.,Manu Koné,AC Ciaccati,Roma,Associazione Sportiva Roma,manu kone,kone m.
222,Cristante,Bryan Cristante,Sborada,Roma,Associazione Sportiva Roma,bryan cristante,cristante
244,Gudmundsson A.,Albert Gudmundsson,Diablitos FC,Fiorentina,Associazione Calcio Fiorentina,albert gudmundsson,gudmundsson a.
234,Taylor K.,Kenneth Taylor,Diaolo Porco,Lazio,Società Sportiva Lazio S.p.A.,kenneth taylor,taylor k.
249,Bernabè,Adrián Bernabé,Metodo Monchi FC,Parma,Parma Calcio 1913,adrian bernabe,bernabe
237,Isaksen,Gustav Isaksen,Diaolo Porco,Lazio,Società Sportiva Lazio S.p.A.,gustav isaksen,isaksen
253,Perrone,Máximo Perrone,Sborada,Como,Calcio Como,maximo perrone,perrone
257,Vlasic,Nikola Vlašić,ZeroDayz FC,Torino,Torino Calcio,nikola vlasic,vlasic
247,Konè I.,Ismaël Koné,Diablitos FC,Sassuolo,Unione Sportiva Sassuolo Calcio,ismael kone,kone i.
259,Barella,Nicolò Barella,Baby Reijnders,Inter,Football Club Internazionale Milano S.p.A.,nicolo barella,barella
266,Orsolini,Riccardo Orsolini,Baby Reijnders,Bologna,Bologna Football Club 1909,riccardo orsolini,orsolini
246,Atta,Arthur Atta,Baby Reijnders,Udinese,Udinese Calcio,arthur atta,atta
263,Rabiot,Adrien Rabiot,AC Ciaccati,Milan,Associazione Calcio Milan,adrien rabiot,rabiot
267,Calhanoglu,Hakan Çalhanoğlu,Diablitos FC,Inter,Football Club Internazionale Milano S.p.A.,hakan calhanoglu,calhanoglu
265,McTominay,Scott McTominay,CyberDucks,Napoli,Società Sportiva Calcio Napoli,scott mctominay,mctominay
273,Odogu,David Odogu,Baby Reijnders,Milan,Associazione Calcio Milan,david odogu,odogu
327,Candè,Fali Candé,Svincolato,Sassuolo,Unione Sportiva Sassuolo Calcio,fali cande,cande
270,Arizala,Juan Arizala,Svincolato,Udinese,Udinese Calcio,juan arizala,arizala
152,Oristanio,Gaetano Oristanio,Metodo Monchi FC,Parma,Parma Calcio 1913,gaetano oristanio,oristanio
195,Akinsanmiro,Ebenezer Akinsanmiro,Svincolato,Pisa,Pisa Sporting Club,ebenezer akinsanmiro,akinsanmiro
