id,giro,numero,detentore_att,detentore_originale,id_giocatore_scelto,anno
320,2,,ZeroDayz FC,ZeroDayz FC,,2034-01-01
321,3,,AC Ciaccati,AC Ciaccati,,2034-01-01
323,3,,CyberDucks,CyberDucks,,2034-01-01
324,3,,Diablitos FC,Diablitos FC,,2034-01-01
325,3,,Diaolo Porco,Diaolo Porco,,2034-01-01
326,3,,FC Pontos,FC Pontos,,2034-01-01
327,3,,FC Sovescio,FC Sovescio,,2034-01-01
328,3,,Metodo Monchi FC,Metodo Monchi FC,,2034-01-01
329,3,,Sborada,Sborada,,2034-01-01
330,3,,ZeroDayz FC,ZeroDayz FC,,2034-01-01
331,1,,AC Ciaccati,AC Ciaccati,,2035-01-01
333,1,,CyberDucks,CyberDucks,,2035-01-01
334,1,,Diablitos FC,Diablitos FC,,2035-01-01
335,1,,Diaolo Porco,Diaolo Porco,,2035-01-01
336,1,,FC Pontos,FC Pontos,,2035-01-01
337,1,,FC Sovescio,FC Sovescio,,2035-01-01
338,1,,Metodo Monchi FC,Metodo Monchi FC,,2035-01-01
339,1,,Sborada,Sborada,,2035-01-01
340,1,,ZeroDayz FC,ZeroDayz FC,,2035-01-01
341,2,,AC Ciaccati,AC Ciaccati,,2035-01-01
343,2,,CyberDucks,CyberDucks,,2035-01-01
344,2,,Diablitos FC,Diablitos FC,,2035-01-01
345,2,,Diaolo Porco,Diaolo Porco,,2035-01-01
346,2,,FC Pontos,FC Pontos,,2035-01-01
347,2,,FC Sovescio,FC Sovescio,,2035-01-01
348,2,,Metodo Monchi FC,Metodo Monchi FC,,2035-01-01
349,2,,Sborada,Sborada,,2035-01-01
350,2,,ZeroDayz FC,ZeroDayz FC,,2035-01-01
351,3,,AC Ciaccati,AC Ciaccati,,2035-01-01
353,3,,CyberDucks,CyberDucks,,2035-01-01
354,3,,Diablitos FC,Diablitos FC,,2035-01-01
355,3,,Diaolo Porco,Diaolo Porco,,2035-01-01
356,3,,FC Pontos,FC Pontos,,2035-01-01
357,3,,FC Sovescio,FC Sovescio,,2035-01-01
358,3,,Metodo Monchi FC,Metodo Monchi FC,,2035-01-01
359,3,,Sborada,Sborada,,2035-01-01
360,3,,ZeroDayz FC,ZeroDayz FC,,2035-01-01
361,1,,AC Ciaccati,AC Ciaccati,,2036-01-01
363,1,,CyberDucks,CyberDucks,,2036-01-01
364,1,,Diablitos FC,Diablitos FC,,2036-01-01
365,1,,Diaolo Porco,Diaolo Porco,,2036-01-01
366,1,,FC Pontos,FC Pontos,,2036-01-01
367,1,,FC Sovescio,FC Sovescio,,2036-01-01
368,1,,Metodo Monchi FC,Metodo Monchi FC,,2036-01-01
369,1,,Sborada,Sborada,,2036-01-01
370,1,,ZeroDayz FC,ZeroDayz FC,,2036-01-01
371,2,,AC Ciaccati,AC Ciaccati,,2036-01-01
373,2,,CyberDucks,CyberDucks,,2036-01-01
374,2,,Diablitos FC,Diablitos FC,,2036-01-01
375,2,,Diaolo Porco,Diaolo Porco,,2036-01-01
376,2,,FC Pontos,FC Pontos,,2036-01-01
377,2,,FC Sovescio,FC Sovescio,,2036-01-01
378,2,,Metodo Monchi FC,Metodo Monchi FC,,2036-01-01
379,2,,Sborada,Sborada,,2036-01-01
380,2,,ZeroDayz FC,ZeroDayz FC,,2036-01-01
381,3,,AC Ciaccati,AC Ciaccati,,2036-01-01
383,3,,CyberDucks,CyberDucks,,2036-01-01
384,3,,Diablitos FC,Diablitos FC,,2036-01-01
385,3,,Diaolo Porco,Diaolo Porco,,2036-01-01
386,3,,FC Pontos,FC Pontos,,2036-01-01
387,3,,FC Sovescio,FC Sovescio,,2036-01-01
388,3,,Metodo Monchi FC,Metodo Monchi FC,,2036-01-01
389,3,,Sborada,Sborada,,2036-01-01
390,3,,ZeroDayz FC,ZeroDayz FC,,2036-01-01
391,1,,AC Ciaccati,AC Ciaccati,,2037-01-01
393,1,,CyberDucks,CyberDucks,,2037-01-01
394,1,,Diablitos FC,Diablitos FC,,2037-01-01
395,1,,Diaolo Porco,Diaolo Porco,,2037-01-01
396,1,,FC Pontos,FC Pontos,,2037-01-01
397,1,,FC Sovescio,FC Sovescio,,2037-01-01
398,1,,Metodo Monchi FC,Metodo Monchi FC,,2037-01-01
399,1,,Sborada,Sborada,,2037-01-01
400,1,,ZeroDayz FC,ZeroDayz FC,,2037-01-01
401,2,,AC Ciaccati,AC Ciaccati,,2037-01-01
403,2,,CyberDucks,CyberDucks,,2037-01-01
